First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
BJ,Farrare,SSDM,70,Redwoods,10,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,7,12,40,36,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Charlie,Hayes,SSDM,23,Waterdogs,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,12,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole,Kastner,D,39,Redwoods,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan,Renner,G,1,Player Pool,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin,Adler,D,77,Atlas,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,11,56,52,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Carter,Parlette,SSDM,21,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett,Dobson,G,45,Archers,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,3,17,175,167,0,0,0,0,11.12,146,0.56,46,0.31,111,10,1,1,0,0,7,0,0,0,0
Colin,Kirst,G,5,Cannons,10,0,0,0,0,0,0,2,0,1,0.5,2,0,1,0.5,8,2,21,165,155,0,0,0,0,13.84,133,0.49,56,0.42,138,5,1,1,0,0,12,0,0,0,0
AJ,Pilate,D,46,Outlaws,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Aldridge,SSDM,24,Whipsnakes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter,Rice,SSDM,3,Redwoods,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,68,65,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Logan,McNaney,G,30,Outlaws,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,4,17,157,150,0,0,0,0,10.56,109,0.55,66,0.6,86,8,0,0,0,0,6,0,0,0,0
Jack,DiBenedetto,D,31,Waterdogs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koby,Smith,LSM,0,Atlas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will,Mark,G,88,Atlas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
