First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Nathan,Laliberte,FO,81,Atlas,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,3,1,0.42,12,16,28,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Max,Krevsky,SSDM,48,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikko,DiPonio,D,46,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam,Kammar,SSDM,28,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett,Makar,D,43,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Rexrode,D,22,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,Carpenter,LSM,5,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam,Entenmann,G,44,Atlas,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,28,26,0,0,0,0,12,18,0.6,8,0.44,12,0,0,0,0,0,0,0,0,0,0
Jake,Stevens,M,14,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kyle,Jackson,M,47,Atlas,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,Woodward,D,77,Archers,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick,Washuta,G,18,Archers,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,36,36,0,0,0,0,8,23,0.6,8,0.34,16,1,0,0,0,0,2,0,0,0,0
Cam,Wyers,D,20,Archers,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
